emp_no,first_name,last_name,title,from_date,to_date,salary
99104,Karsten,Kolinko,Senior Staff,1991-07-13,9999-01-01,"$40,000.00"
99104,Karsten,Kolinko,Staff,1986-07-13,1991-07-13,"$40,000.00"
99137,Yonghoan,Pollock,Senior Engineer,1995-12-21,9999-01-01,"$82,357.00"
99137,Yonghoan,Pollock,Engineer,1988-12-20,1995-12-21,"$82,357.00"
99153,Maik,Montresor,Senior Engineer,1993-06-06,9999-01-01,"$40,000.00"
99161,Ramya,Heyers,Senior Engineer,2002-05-08,9999-01-01,"$51,933.00"
99161,Ramya,Heyers,Engineer,1996-05-08,2002-05-08,"$51,933.00"
99182,Jaques,Fontan,Engineer,1999-03-10,9999-01-01,"$57,476.00"
99206,Florian,Matheson,Senior Staff,1990-10-15,9999-01-01,"$40,000.00"
99208,Mokhtar,Bernick,Senior Engineer,2000-05-17,9999-01-01,"$41,107.00"
99208,Mokhtar,Bernick,Engineer,1991-05-18,2000-05-17,"$41,107.00"
99210,Irene,Morrin,Senior Engineer,1991-05-19,9999-01-01,"$40,000.00"
99210,Irene,Morrin,Engineer,1985-05-19,1991-05-19,"$40,000.00"
99220,Domenico,Zobel,Technique Leader,1993-07-17,9999-01-01,"$42,749.00"
99226,Mario,Pehl,Senior Engineer,2002-01-14,9999-01-01,"$42,023.00"
99226,Mario,Pehl,Engineer,1993-01-14,2002-01-14,"$42,023.00"
99231,Nahla,Wielonsky,Senior Engineer,1988-10-12,9999-01-01,"$50,698.00"
99253,Genki,Maccarone,Staff,1997-07-17,9999-01-01,"$59,645.00"
99269,Leaf,Gien,Engineer,1997-05-13,9999-01-01,"$40,000.00"
99272,Yuriy,Birge,Staff,1999-02-16,9999-01-01,"$61,261.00"
99274,Taizo,Schurmann,Senior Engineer,1985-06-14,9999-01-01,"$40,000.00"
99276,Takanari,Aamodt,Senior Staff,1995-01-01,9999-01-01,"$85,243.00"
99276,Takanari,Aamodt,Staff,1987-01-01,1995-01-01,"$85,243.00"
99290,Youssef,Basagni,Senior Engineer,2000-08-06,9999-01-01,"$40,000.00"
99290,Youssef,Basagni,Engineer,1995-08-07,2000-08-06,"$40,000.00"
99297,Xinan,Erman,Senior Engineer,2001-06-26,9999-01-01,"$54,074.00"
99297,Xinan,Erman,Engineer,1992-06-26,2001-06-26,"$54,074.00"
99299,Sachem,Claffy,Engineer,1995-06-10,9999-01-01,"$52,523.00"
99299,Sachem,Claffy,Assistant Engineer,1986-06-10,1995-06-10,"$52,523.00"
99307,Moto,Thibadeau,Senior Staff,1995-08-23,9999-01-01,"$60,796.00"
99307,Moto,Thibadeau,Staff,1987-08-23,1995-08-23,"$60,796.00"
99313,Masasuke,Caine,Senior Staff,1991-04-02,9999-01-01,"$40,000.00"
99313,Masasuke,Caine,Staff,1985-04-02,1991-04-02,"$40,000.00"
99340,Masaru,Selvestrel,Senior Staff,1987-06-15,9999-01-01,"$40,000.00"
99365,Poornachandra,Kopetz,Senior Engineer,1995-05-02,9999-01-01,"$40,000.00"
99369,Marke,Krohn,Senior Staff,1994-05-10,9999-01-01,"$53,308.00"
99369,Marke,Krohn,Staff,1986-05-10,1994-05-10,"$53,308.00"
99371,Tokuyasu,Vuskovic,Senior Engineer,1991-11-17,9999-01-01,"$58,546.00"
99371,Tokuyasu,Vuskovic,Engineer,1985-11-17,1991-11-17,"$58,546.00"
99376,Olivera,Blokdijk,Senior Engineer,1988-02-15,9999-01-01,"$40,000.00"
99390,Cristinel,Potthoff,Senior Engineer,2000-03-17,9999-01-01,"$52,747.00"
99390,Cristinel,Potthoff,Engineer,1992-03-17,2000-03-17,"$52,747.00"
99400,Hitomi,Decaestecker,Senior Staff,1994-09-20,9999-01-01,"$66,797.00"
99400,Hitomi,Decaestecker,Staff,1985-09-20,1994-09-20,"$66,797.00"
99422,Kotesh,Navazio,Senior Staff,1995-04-26,9999-01-01,"$67,111.00"
99422,Kotesh,Navazio,Staff,1986-04-26,1995-04-26,"$67,111.00"
99431,Prodip,Kusalik,Senior Staff,1990-09-02,9999-01-01,"$87,304.00"
99438,Vidar,Prochazka,Senior Staff,1996-04-20,9999-01-01,"$75,241.00"
99438,Vidar,Prochazka,Staff,1988-04-20,1996-04-20,"$75,241.00"
99442,Sibyl,Uhrig,Senior Staff,1996-07-11,9999-01-01,"$65,643.00"
99442,Sibyl,Uhrig,Staff,1988-07-11,1996-07-11,"$65,643.00"
99443,Zita,Woycyznski,Senior Staff,1995-11-11,9999-01-01,"$57,383.00"
99443,Zita,Woycyznski,Staff,1988-11-10,1995-11-11,"$57,383.00"
99451,Guenter,Riexinger,Senior Staff,1998-12-09,9999-01-01,"$60,516.00"
99451,Guenter,Riexinger,Staff,1991-12-09,1998-12-09,"$60,516.00"
99466,Margo,Schusler,Senior Engineer,1991-07-27,9999-01-01,"$40,000.00"
99466,Margo,Schusler,Engineer,1985-07-27,1991-07-27,"$40,000.00"
99473,Jaihie,Servi,Engineer,2001-03-06,9999-01-01,"$63,089.00"
99473,Jaihie,Servi,Assistant Engineer,1996-03-06,2001-03-06,"$63,089.00"
99476,Shahaf,Laventhal,Staff,1999-12-09,9999-01-01,"$40,000.00"
99481,Arnd,Akaboshi,Senior Staff,2001-10-23,9999-01-01,"$81,880.00"
99481,Arnd,Akaboshi,Staff,1994-10-23,2001-10-23,"$81,880.00"
99492,Rosine,Gajiwala,Senior Staff,1998-07-24,9999-01-01,"$54,784.00"
99492,Rosine,Gajiwala,Staff,1992-07-24,1998-07-24,"$54,784.00"
99501,Djenana,Scharstein,Senior Engineer,1999-06-27,9999-01-01,"$58,710.00"
99501,Djenana,Scharstein,Engineer,1992-06-26,1999-06-27,"$58,710.00"
99520,Eran,Copas,Senior Engineer,2000-02-02,9999-01-01,"$47,258.00"
99520,Eran,Copas,Engineer,1995-02-02,2000-02-02,"$47,258.00"
99522,Murthy,Prenel,Senior Staff,1994-06-02,9999-01-01,"$40,000.00"
99522,Murthy,Prenel,Staff,1988-06-02,1994-06-02,"$40,000.00"
99527,Feipei,Duclos,Engineer,1994-08-12,9999-01-01,"$40,000.00"
99544,Irene,Petersohn,Engineer,1999-02-22,9999-01-01,"$40,000.00"
99557,Arlette,Fordan,Senior Staff,1986-02-20,9999-01-01,"$40,000.00"
99564,Vitali,Azevdeo,Senior Staff,1995-04-25,9999-01-01,"$56,125.00"
99564,Vitali,Azevdeo,Staff,1988-04-24,1995-04-25,"$56,125.00"
99567,Christfried,Oberman,Assistant Engineer,1996-06-01,9999-01-01,"$69,068.00"
99571,Rajmohan,Slobodova,Senior Engineer,1998-07-03,9999-01-01,"$40,000.00"
99571,Rajmohan,Slobodova,Engineer,1991-07-03,1998-07-03,"$40,000.00"
99583,Holgard,Schmittgen,Senior Staff,1996-05-14,9999-01-01,"$47,873.00"
99606,Kamran,Flowers,Senior Staff,1993-12-30,9999-01-01,"$70,984.00"
99606,Kamran,Flowers,Staff,1988-12-30,1993-12-30,"$70,984.00"
99608,Baruch,Paludetto,Engineer,1999-08-14,9999-01-01,"$42,571.00"
99611,Breannda,Stasinski,Senior Staff,1994-08-28,9999-01-01,"$40,000.00"
99611,Breannda,Stasinski,Staff,1988-08-28,1994-08-28,"$40,000.00"
99622,Etsuo,Taneja,Senior Engineer,1992-05-18,9999-01-01,"$44,203.00"
99622,Etsuo,Taneja,Engineer,1987-05-19,1992-05-18,"$44,203.00"
99637,Moti,Maccarone,Senior Engineer,1987-01-04,9999-01-01,"$74,650.00"
99643,Beshir,Babu,Senior Staff,1991-05-03,9999-01-01,"$58,318.00"
99643,Beshir,Babu,Staff,1985-05-03,1991-05-03,"$58,318.00"
99646,Manu,Farris,Technique Leader,1997-11-13,9999-01-01,"$40,000.00"
99649,Danny,Berstel,Senior Engineer,1993-11-25,9999-01-01,"$40,000.00"
99649,Danny,Berstel,Engineer,1985-11-25,1993-11-25,"$40,000.00"
99655,Elvis,Borovoy,Senior Engineer,2001-04-03,9999-01-01,"$68,796.00"
99655,Elvis,Borovoy,Engineer,1995-04-04,2001-04-03,"$68,796.00"
99671,Tsuneo,Leppanen,Senior Staff,1985-06-10,9999-01-01,"$60,229.00"
99681,Henk,Tramer,Senior Staff,1985-07-17,9999-01-01,"$68,690.00"
99687,Barna,Yavatkar,Senior Engineer,1993-05-17,9999-01-01,"$46,524.00"
99687,Barna,Yavatkar,Engineer,1988-05-17,1993-05-17,"$46,524.00"
99688,Christophe,Noriega,Senior Staff,1993-03-01,9999-01-01,"$61,170.00"
99688,Christophe,Noriega,Staff,1985-03-01,1993-03-01,"$61,170.00"
99703,Manton,Berstel,Senior Engineer,1998-09-11,9999-01-01,"$71,946.00"
99703,Manton,Berstel,Engineer,1991-09-11,1998-09-11,"$71,946.00"
99705,Souichi,Bahr,Senior Staff,1993-09-27,9999-01-01,"$47,335.00"
99705,Souichi,Bahr,Staff,1985-09-27,1993-09-27,"$47,335.00"
99716,Luerbio,Casperson,Senior Staff,1993-12-17,9999-01-01,"$55,990.00"
99716,Luerbio,Casperson,Staff,1986-12-17,1993-12-17,"$55,990.00"
99719,Sreekrishna,Ramamoorthy,Senior Staff,2001-04-09,9999-01-01,"$40,000.00"
99719,Sreekrishna,Ramamoorthy,Staff,1993-04-09,2001-04-09,"$40,000.00"
99729,Dmitri,Porenta,Senior Staff,1996-06-22,9999-01-01,"$64,728.00"
99729,Dmitri,Porenta,Staff,1988-06-22,1996-06-22,"$64,728.00"
99745,Girolamo,Highland,Senior Engineer,1994-12-12,9999-01-01,"$40,034.00"
99745,Girolamo,Highland,Engineer,1985-12-12,1994-12-12,"$40,034.00"
99769,Xinyu,Winter,Senior Staff,2000-07-24,9999-01-01,"$67,904.00"
99769,Xinyu,Winter,Staff,1995-07-25,2000-07-24,"$67,904.00"
99771,Gudjon,Lund,Senior Engineer,1999-05-23,9999-01-01,"$40,000.00"
99771,Gudjon,Lund,Engineer,1993-05-23,1999-05-23,"$40,000.00"
99779,Rasiah,Taubenfeld,Senior Engineer,1987-05-06,9999-01-01,"$45,628.00"
99781,Randi,Sury,Senior Staff,1992-12-03,9999-01-01,"$40,000.00"
99781,Randi,Sury,Staff,1986-12-04,1992-12-03,"$40,000.00"
99788,Adly,Orsini,Senior Engineer,1993-10-10,9999-01-01,"$40,000.00"
99788,Adly,Orsini,Engineer,1987-10-11,1993-10-10,"$40,000.00"
99790,Guadalupe,Lowrie,Senior Engineer,1993-09-29,9999-01-01,"$40,000.00"
99794,Kristin,Garnick,Senior Engineer,1995-03-15,9999-01-01,"$40,000.00"
99794,Kristin,Garnick,Engineer,1986-03-15,1995-03-15,"$40,000.00"
99804,Abdelghani,Benner,Senior Engineer,2002-01-13,9999-01-01,"$58,433.00"
99804,Abdelghani,Benner,Engineer,1995-01-13,2002-01-13,"$58,433.00"
99804,Abdelghani,Benner,Assistant Engineer,1988-01-13,1995-01-13,"$58,433.00"
99837,Dipayan,Anick,Senior Engineer,1985-11-28,9999-01-01,"$40,000.00"
99860,Mitchel,Homond,Technique Leader,1988-11-09,9999-01-01,"$49,331.00"
99874,Leif,Belinskaya,Senior Engineer,1995-12-03,9999-01-01,"$55,576.00"
99874,Leif,Belinskaya,Engineer,1986-12-03,1995-12-03,"$55,576.00"
99880,Herbert,Conti,Senior Staff,1996-08-19,9999-01-01,"$50,558.00"
99880,Herbert,Conti,Staff,1987-08-20,1996-08-19,"$50,558.00"
99882,Rafail,Falby,Senior Engineer,1995-01-11,9999-01-01,"$48,229.00"
99882,Rafail,Falby,Engineer,1987-01-11,1995-01-11,"$48,229.00"
99883,Dulce,Linares,Senior Engineer,1986-12-11,9999-01-01,"$62,474.00"
99889,Mohammad,Osgood,Engineer,1998-06-29,9999-01-01,"$58,898.00"
99890,Aemilian,Decleir,Senior Staff,1994-11-18,9999-01-01,"$40,930.00"
99890,Aemilian,Decleir,Staff,1987-11-18,1994-11-18,"$40,930.00"
99895,Olivera,Feldmann,Senior Engineer,2000-07-22,9999-01-01,"$44,629.00"
99895,Olivera,Feldmann,Engineer,1994-07-23,2000-07-22,"$44,629.00"
99915,Elgin,Perna,Senior Engineer,1993-02-26,9999-01-01,"$40,000.00"
99915,Elgin,Perna,Engineer,1987-02-27,1993-02-26,"$40,000.00"
99927,Bernardo,Luck,Senior Engineer,1994-03-11,9999-01-01,"$40,000.00"
99927,Bernardo,Luck,Engineer,1986-03-11,1994-03-11,"$40,000.00"
99937,Yannik,Himler,Senior Engineer,1995-11-17,9999-01-01,"$40,752.00"
99937,Yannik,Himler,Engineer,1987-11-17,1995-11-17,"$40,752.00"
99966,Masali,Ferretti,Staff,1997-09-26,9999-01-01,"$70,517.00"
99972,Jaana,Schaaf,Staff,1998-05-07,9999-01-01,"$79,948.00"
99981,Rimon,Grandbois,Senior Engineer,2002-05-03,9999-01-01,"$48,230.00"
99981,Rimon,Grandbois,Engineer,1993-05-03,2002-05-03,"$48,230.00"
99989,Divine,Docker,Engineer,1999-11-01,9999-01-01,"$42,342.00"
100013,Gunilla,Bernardinello,Senior Engineer,1992-04-09,9999-01-01,"$81,806.00"
100013,Gunilla,Bernardinello,Engineer,1986-04-10,1992-04-09,"$81,806.00"
100022,Iara,Lindenbaum,Senior Staff,1990-02-04,9999-01-01,"$58,805.00"
100022,Iara,Lindenbaum,Staff,1985-02-04,1990-02-04,"$58,805.00"
100024,Godehard,Pelz,Senior Staff,1993-03-27,9999-01-01,"$70,235.00"
100032,Jaewoo,Papsdorf,Senior Staff,1997-01-19,9999-01-01,"$40,000.00"
100032,Jaewoo,Papsdorf,Staff,1988-01-20,1997-01-19,"$40,000.00"
100042,Raimond,Turnbull,Staff,2000-01-11,9999-01-01,"$84,331.00"
100046,Jayson,Jumpertz,Senior Engineer,1991-06-14,9999-01-01,"$40,000.00"
100046,Jayson,Jumpertz,Engineer,1986-06-14,1991-06-14,"$40,000.00"
100072,Fan,Zeleznik,Engineer,1997-06-17,9999-01-01,"$40,248.00"
100074,Yechiam,Velardi,Senior Engineer,1994-07-15,9999-01-01,"$40,000.00"
100074,Yechiam,Velardi,Engineer,1986-07-15,1994-07-15,"$40,000.00"
100092,Eckart,Cannane,Senior Engineer,1992-01-28,9999-01-01,"$44,308.00"
100092,Eckart,Cannane,Engineer,1987-01-28,1992-01-28,"$44,308.00"
100101,Shakhar,Egerstedt,Senior Engineer,1995-05-11,9999-01-01,"$57,364.00"
100101,Shakhar,Egerstedt,Engineer,1988-05-10,1995-05-11,"$57,364.00"
100112,Akemi,Naumovich,Engineer,1999-06-30,9999-01-01,"$76,575.00"
100112,Akemi,Naumovich,Assistant Engineer,1994-06-30,1999-06-30,"$76,575.00"
100115,Siddarth,Servieres,Senior Staff,1992-10-20,9999-01-01,"$70,651.00"
100115,Siddarth,Servieres,Staff,1986-10-21,1992-10-20,"$70,651.00"
100117,Fumitaka,Beerel,Senior Staff,1987-10-25,9999-01-01,"$40,000.00"
100118,Sajjad,Goldhammer,Technique Leader,1999-10-28,9999-01-01,"$51,892.00"
100125,Kristinn,Benveniste,Senior Staff,1996-02-13,9999-01-01,"$40,000.00"
100125,Kristinn,Benveniste,Staff,1988-02-13,1996-02-13,"$40,000.00"
100137,Seongbae,Bail,Senior Engineer,1992-03-16,9999-01-01,"$40,000.00"
100137,Seongbae,Bail,Engineer,1986-03-17,1992-03-16,"$40,000.00"
100138,Changho,Prenel,Engineer,1997-06-16,9999-01-01,"$43,804.00"
100138,Changho,Prenel,Assistant Engineer,1988-06-16,1997-06-16,"$43,804.00"
100142,Terresa,Isard,Senior Staff,1988-12-10,9999-01-01,"$74,107.00"
100146,Nalini,Woycyznski,Technique Leader,1997-07-30,9999-01-01,"$59,959.00"
100158,Ayakannu,Falby,Senior Staff,1988-08-21,9999-01-01,"$40,000.00"
100159,Sakthirel,Boudaillier,Senior Engineer,1992-11-27,9999-01-01,"$40,000.00"
100159,Sakthirel,Boudaillier,Engineer,1987-11-28,1992-11-27,"$40,000.00"
100169,Ingmar,Angot,Technique Leader,1987-01-13,9999-01-01,"$46,710.00"
100172,Selwyn,Kranzdorf,Senior Staff,1999-01-16,9999-01-01,"$59,207.00"
100172,Selwyn,Kranzdorf,Staff,1992-01-16,1999-01-16,"$59,207.00"
100175,Willard,Maginnis,Senior Engineer,1988-01-17,9999-01-01,"$60,426.00"
100180,Ohad,Lichtner,Senior Engineer,1995-06-16,9999-01-01,"$63,640.00"
100180,Ohad,Lichtner,Engineer,1990-06-16,1995-06-16,"$63,640.00"
100190,Lenore,Thebaut,Technique Leader,1986-09-09,9999-01-01,"$40,000.00"
100205,Nahid,Gustavson,Technique Leader,1996-08-14,9999-01-01,"$40,000.00"
100206,Arumugam,Wrigley,Senior Engineer,1985-03-29,9999-01-01,"$75,261.00"
100257,Mahmut,Poulakidas,Engineer,1994-08-28,9999-01-01,"$50,891.00"
100259,Jiang,Laurillard,Senior Staff,1996-02-03,9999-01-01,"$40,000.00"
100259,Jiang,Laurillard,Staff,1988-02-03,1996-02-03,"$40,000.00"
100264,Jaroslava,Hegner,Senior Engineer,1989-11-09,9999-01-01,"$40,000.00"
100274,Fei,Miyakawa,Senior Staff,1992-10-06,9999-01-01,"$67,036.00"
100274,Fei,Miyakawa,Staff,1986-10-07,1992-10-06,"$67,036.00"
100277,Ravishankar,Baby,Senior Engineer,1996-08-16,9999-01-01,"$42,826.00"
100277,Ravishankar,Baby,Engineer,1988-08-16,1996-08-16,"$42,826.00"
100279,Mingdong,Gustavson,Staff,1998-03-03,9999-01-01,"$71,734.00"
100292,Takanari,Zambonelli,Senior Staff,1994-10-10,9999-01-01,"$47,883.00"
100292,Takanari,Zambonelli,Staff,1986-10-10,1994-10-10,"$47,883.00"
100295,Huican,Schmiedel,Senior Staff,1993-01-23,9999-01-01,"$67,515.00"
100295,Huican,Schmiedel,Staff,1986-01-23,1993-01-23,"$67,515.00"
100300,Paraskevi,Lieblein,Senior Engineer,1992-04-11,9999-01-01,"$40,000.00"
100300,Paraskevi,Lieblein,Engineer,1985-04-11,1992-04-11,"$40,000.00"
100303,Huei,Pargaonkar,Senior Engineer,1993-12-27,9999-01-01,"$40,000.00"
100305,Christfried,Heyers,Senior Engineer,1998-01-02,9999-01-01,"$68,511.00"
100317,Xiaopeng,Lorys,Senior Staff,1994-12-11,9999-01-01,"$73,886.00"
100317,Xiaopeng,Lorys,Staff,1987-12-11,1994-12-11,"$73,886.00"
100319,Frazer,Billingsley,Senior Engineer,1988-07-10,9999-01-01,"$55,250.00"
100322,Janalee,Bahr,Senior Staff,1985-03-21,9999-01-01,"$40,000.00"
100332,Tooru,Schonegge,Senior Engineer,1990-02-21,9999-01-01,"$40,000.00"
100333,Kyoichi,Radivojevic,Assistant Engineer,1996-11-27,9999-01-01,"$54,918.00"
100349,Gianluca,Jarecki,Senior Engineer,1993-06-18,9999-01-01,"$40,000.00"
100349,Gianluca,Jarecki,Engineer,1988-06-18,1993-06-18,"$40,000.00"
100352,Moss,Poupard,Senior Engineer,1996-08-11,9999-01-01,"$42,705.00"
100358,Lucian,Falby,Senior Engineer,2001-04-17,9999-01-01,"$40,000.00"
100358,Lucian,Falby,Engineer,1993-04-17,2001-04-17,"$40,000.00"
100358,Lucian,Falby,Assistant Engineer,1985-04-17,1993-04-17,"$40,000.00"
100359,Vishwani,Speer,Senior Engineer,1987-03-27,9999-01-01,"$40,000.00"
100382,Mariangiola,Wynblatt,Senior Engineer,1997-05-25,9999-01-01,"$53,751.00"
100382,Mariangiola,Wynblatt,Engineer,1988-05-25,1997-05-25,"$53,751.00"
100384,Richara,Yurek,Senior Engineer,1995-06-03,9999-01-01,"$42,995.00"
100384,Richara,Yurek,Engineer,1986-06-03,1995-06-03,"$42,995.00"
100386,Lubomir,Dulay,Engineer,1995-11-29,9999-01-01,"$40,000.00"
100403,Chikara,Stavenow,Senior Engineer,1987-05-06,9999-01-01,"$40,000.00"
100406,Yoshinari,Coors,Senior Staff,1990-10-11,9999-01-01,"$67,911.00"
100406,Yoshinari,Coors,Staff,1985-10-11,1990-10-11,"$67,911.00"
100413,Mara,Schurmann,Senior Engineer,1999-06-10,9999-01-01,"$70,562.00"
100413,Mara,Schurmann,Engineer,1990-06-10,1999-06-10,"$70,562.00"
100416,Chinya,Neimat,Senior Engineer,1995-08-16,9999-01-01,"$51,393.00"
100416,Chinya,Neimat,Engineer,1987-08-16,1995-08-16,"$51,393.00"
100419,Jaana,Leivant,Senior Staff,1997-01-09,9999-01-01,"$64,722.00"
100419,Jaana,Leivant,Staff,1992-01-10,1997-01-09,"$64,722.00"
100428,Fayez,Einsfeld,Senior Engineer,1994-12-07,9999-01-01,"$60,997.00"
100428,Fayez,Einsfeld,Engineer,1987-12-07,1994-12-07,"$60,997.00"
100429,Jayesh,Brender,Senior Engineer,1991-01-01,9999-01-01,"$59,160.00"
100436,Subhankar,Gini,Senior Staff,1993-06-24,9999-01-01,"$83,157.00"
100436,Subhankar,Gini,Staff,1987-06-25,1993-06-24,"$83,157.00"
100444,Arno,Itzigehl,Senior Staff,1985-05-15,9999-01-01,"$74,848.00"
100452,Guther,Lowrie,Senior Engineer,2001-07-17,9999-01-01,"$58,300.00"
100452,Guther,Lowrie,Engineer,1994-07-17,2001-07-17,"$58,300.00"
100475,Aron,Piazza,Senior Staff,1997-02-01,9999-01-01,"$51,218.00"
100475,Aron,Piazza,Staff,1990-02-01,1997-02-01,"$51,218.00"
100486,Radhakrishnan,Maksimenko,Senior Staff,1997-10-09,9999-01-01,"$83,241.00"
100486,Radhakrishnan,Maksimenko,Staff,1988-10-09,1997-10-09,"$83,241.00"
100492,Vincent,Tibblin,Senior Staff,1999-11-03,9999-01-01,"$84,588.00"
100497,Tze,Fortenbacher,Senior Engineer,1993-04-06,9999-01-01,"$40,000.00"
100497,Tze,Fortenbacher,Engineer,1985-04-06,1993-04-06,"$40,000.00"
100500,Tetsurou,Sichman,Senior Engineer,1996-10-14,9999-01-01,"$61,217.00"
100500,Tetsurou,Sichman,Engineer,1988-10-14,1996-10-14,"$61,217.00"
100516,Seongbae,Staudhammer,Senior Engineer,1995-09-22,9999-01-01,"$40,000.00"
100516,Seongbae,Staudhammer,Engineer,1990-09-22,1995-09-22,"$40,000.00"
100516,Seongbae,Staudhammer,Assistant Engineer,1985-09-22,1990-09-22,"$40,000.00"
100531,Toshiko,Kranzdorf,Senior Engineer,1999-02-06,9999-01-01,"$44,836.00"
100534,Aamer,Luga,Staff,1996-04-08,9999-01-01,"$95,161.00"
100555,Lucien,Gecsel,Senior Staff,1995-08-14,9999-01-01,"$70,189.00"
100555,Lucien,Gecsel,Staff,1988-08-13,1995-08-14,"$70,189.00"
100556,Sachem,Kaiserswerth,Senior Staff,1990-10-19,9999-01-01,"$40,000.00"
100568,Aral,Huhdanpaa,Senior Staff,1988-07-12,9999-01-01,"$58,380.00"
100569,Sreekrishna,Anandan,Senior Engineer,1991-10-25,9999-01-01,"$51,999.00"
100569,Sreekrishna,Anandan,Engineer,1986-10-25,1991-10-25,"$51,999.00"
100574,Lucien,Bennet,Senior Staff,2002-02-14,9999-01-01,"$83,065.00"
100574,Lucien,Bennet,Staff,1995-02-14,2002-02-14,"$83,065.00"
100583,Goetz,Schnelling,Senior Engineer,1996-12-19,9999-01-01,"$40,000.00"
100593,Sasan,Sethi,Engineer,1996-02-28,9999-01-01,"$40,000.00"
100609,Gina,Lakshmanan,Senior Engineer,1999-09-26,9999-01-01,"$68,982.00"
100609,Gina,Lakshmanan,Engineer,1994-09-26,1999-09-26,"$68,982.00"
100621,Olivera,Joslin,Engineer,1994-09-05,9999-01-01,"$40,000.00"
100634,Halsur,Yurek,Senior Engineer,1994-04-28,9999-01-01,"$43,597.00"
100634,Halsur,Yurek,Engineer,1988-04-28,1994-04-28,"$43,597.00"
100653,Georgi,Maraist,Senior Engineer,1997-10-27,9999-01-01,"$40,000.00"
100653,Georgi,Maraist,Engineer,1988-10-28,1997-10-27,"$40,000.00"
100656,Persi,Teitelbaum,Engineer,1996-11-10,9999-01-01,"$58,825.00"
100673,Giri,Jiang,Senior Staff,1993-12-31,9999-01-01,"$66,753.00"
100673,Giri,Jiang,Staff,1986-12-31,1993-12-31,"$66,753.00"
100674,Mariangiola,Lovengreen,Technique Leader,1988-12-17,9999-01-01,"$50,555.00"
100678,Premal,Terkki,Senior Engineer,1998-09-06,9999-01-01,"$40,000.00"
100678,Premal,Terkki,Engineer,1991-09-06,1998-09-06,"$40,000.00"
100680,Xiping,Duclos,Senior Staff,1996-03-28,9999-01-01,"$65,045.00"
100686,True,Beausoleil,Senior Staff,1994-06-14,9999-01-01,"$75,314.00"
100686,True,Beausoleil,Staff,1987-06-14,1994-06-14,"$75,314.00"
100698,Gino,Atrawala,Senior Staff,1995-11-06,9999-01-01,"$45,457.00"
100698,Gino,Atrawala,Staff,1988-11-05,1995-11-06,"$45,457.00"
100708,Yaghout,Pauthner,Engineer,1997-01-01,9999-01-01,"$46,374.00"
100721,Poornachandra,Bade,Senior Engineer,2000-09-15,9999-01-01,"$62,649.00"
100721,Poornachandra,Bade,Engineer,1995-09-16,2000-09-15,"$62,649.00"
100725,Zvonko,Maliniak,Senior Staff,2001-09-26,9999-01-01,"$87,150.00"
100725,Zvonko,Maliniak,Staff,1994-09-26,2001-09-26,"$87,150.00"
100746,Heather,Rehfuss,Senior Staff,1996-07-07,9999-01-01,"$40,000.00"
100746,Heather,Rehfuss,Staff,1987-07-08,1996-07-07,"$40,000.00"
100748,Uriel,Marakhovsky,Senior Staff,1986-12-10,9999-01-01,"$69,326.00"
100753,Zsolt,Baca,Senior Engineer,1993-09-13,9999-01-01,"$72,760.00"
100753,Zsolt,Baca,Engineer,1986-09-13,1993-09-13,"$72,760.00"
100769,Willard,Clemencon,Senior Engineer,1990-04-29,9999-01-01,"$40,000.00"
100787,Ewing,Sury,Staff,1999-07-02,9999-01-01,"$60,396.00"
100838,Kristin,Serre,Technique Leader,1995-03-20,9999-01-01,"$40,766.00"
100842,Dante,Brobst,Senior Engineer,1993-01-01,9999-01-01,"$40,000.00"
100853,Aris,Coombs,Senior Engineer,1995-03-02,9999-01-01,"$65,520.00"
100853,Aris,Coombs,Engineer,1988-03-01,1995-03-02,"$65,520.00"
100854,Serge,Kaiserswerth,Senior Engineer,1996-06-19,9999-01-01,"$40,000.00"
100854,Serge,Kaiserswerth,Engineer,1988-06-19,1996-06-19,"$40,000.00"
100880,Chikara,Thibadeau,Senior Staff,1994-01-11,9999-01-01,"$40,000.00"
100880,Chikara,Thibadeau,Staff,1986-01-11,1994-01-11,"$40,000.00"
100884,Adamantios,Rousseau,Senior Staff,2000-12-14,9999-01-01,"$44,880.00"
100884,Adamantios,Rousseau,Staff,1995-12-15,2000-12-14,"$44,880.00"
100889,Mariusz,Spelt,Senior Staff,1996-01-25,9999-01-01,"$40,000.00"
100889,Mariusz,Spelt,Staff,1988-01-25,1996-01-25,"$40,000.00"
100900,Saniya,Vandervoorde,Senior Staff,1994-06-27,9999-01-01,"$40,000.00"
100900,Saniya,Vandervoorde,Staff,1986-06-27,1994-06-27,"$40,000.00"
100914,Erzsebet,Shackell,Senior Engineer,1994-10-14,9999-01-01,"$42,899.00"
100914,Erzsebet,Shackell,Engineer,1988-10-14,1994-10-14,"$42,899.00"
100920,Henk,Byoun,Senior Engineer,1997-01-28,9999-01-01,"$40,000.00"
100920,Henk,Byoun,Engineer,1992-01-29,1997-01-28,"$40,000.00"
100920,Henk,Byoun,Assistant Engineer,1987-01-29,1992-01-29,"$40,000.00"
100924,Moni,Sewelson,Staff,1994-12-11,9999-01-01,"$44,259.00"
100927,Troy,Lovengreen,Assistant Engineer,1999-10-03,9999-01-01,"$42,027.00"
100933,Uli,Taneja,Senior Staff,1993-03-27,9999-01-01,"$74,993.00"
